🔍 Verificando videos antes del entrenamiento...
📂 Directorio de videos: /content/drive/MyDrive/LSB_TAD/data/videos
✅ Directorio encontrado
📹 Videos encontrados: 1448

📋 Verificando cada video:
  ✅ ALLÁ.mp4: 95 frames, 1280x720, 30.0 fps
  ✅ ALLÍ.mp4: 91 frames, 1280x720, 30.0 fps
  ✅ AQUÍ.mp4: 77 frames, 1280x720, 30.0 fps
  ✅ CONTINENTES.mp4: 142 frames, 1280x720, 30.0 fps
  ✅ OCEANIA.mp4: 120 frames, 1280x720, 30.0 fps
  ✅ ASIA.mp4: 97 frames, 1280x720, 30.0 fps
  ✅ AMÉRICA.mp4: 104 frames, 1280x720, 30.0 fps
  ✅ NORTEAMÉRICA.mp4: 112 frames, 1280x720, 30.0 fps
  ✅ CENTROAMÉRICA.mp4: 128 frames, 1280x720, 30.0 fps
  ✅ SUDAMÉRICA.mp4: 97 frames, 1280x720, 30.0 fps
  ✅ EUROPA.mp4: 105 frames, 1280x720, 30.0 fps
  ✅ ÁFRICA.mp4: 103 frames, 1280x720, 30.0 fps
  ✅ VERDE_OLIVO.mp4: 104 frames, 1280x720, 30.0 fps
  ✅ CREMA.mp4: 76 frames, 1280x720, 30.0 fps
  ✅ VERDE_FOSFORESCENTE.mp4: 90 frames, 1280x720, 30.0 fps
  ✅ GUINDO.mp4: 69 frames, 1280x720, 30.0 fps
  ✅ VERDE_CLARO.mp4: 111 frames, 1280x720, 30.0 fps
  ✅ PLATEADO.mp4: 80 frames, 1280x720, 30.0 fps
  ✅ PLOMO.mp4: 69 frames, 1280x720, 30.0 fps
